timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480055566568,487,Login,200,OK,Weather Predictor Test Cases 1-1,text,true,,3599,1,1,487,0
1480055567069,536,Login,200,OK,Weather Predictor Test Cases 1-2,text,true,,3597,3,3,536,0
1480055567606,534,Login,200,OK,Weather Predictor Test Cases 1-3,text,true,,3597,4,4,534,0
1480055567059,1115,Send Login,200,OK,Weather Predictor Test Cases 1-1,text,true,,3206,4,4,610,0
1480055568071,585,Login,200,OK,Weather Predictor Test Cases 1-4,text,true,,3597,5,5,585,0
1480055568176,544,Get Weather,200,OK,Weather Predictor Test Cases 1-1,text,true,,4146,5,5,543,0
1480055567625,1128,Send Login,200,OK,Weather Predictor Test Cases 1-2,text,true,,3206,5,5,634,0
1480055568571,607,Login,200,OK,Weather Predictor Test Cases 1-5,text,true,,3599,6,6,513,0
1480055568755,544,Get Weather,200,OK,Weather Predictor Test Cases 1-2,text,true,,4146,6,6,459,0
1480055569071,378,Login,200,OK,Weather Predictor Test Cases 1-6,text,true,,3603,6,6,378,0
1480055568143,1352,Send Login,200,OK,Weather Predictor Test Cases 1-3,text,true,,3206,6,6,613,0
1480055568659,1673,Send Login,200,OK,Weather Predictor Test Cases 1-4,text,true,,3206,8,8,623,0
1480055569572,833,Login,200,OK,Weather Predictor Test Cases 1-7,text,true,,3597,8,8,833,0
1480055569502,1085,Get Weather,200,OK,Weather Predictor Test Cases 1-3,text,true,,4146,9,9,1085,0
1480055569181,1419,Send Login,200,OK,Weather Predictor Test Cases 1-5,text,true,,3206,9,9,742,0
1480055569452,1478,Send Login,200,OK,Weather Predictor Test Cases 1-6,text,true,,3206,9,9,836,0
1480055570074,874,Login,200,OK,Weather Predictor Test Cases 1-8,text,true,,3603,9,9,874,0
1480055570334,734,Get Weather,200,OK,Weather Predictor Test Cases 1-4,text,true,,4146,9,9,734,0
1480055570575,615,Login,200,OK,Weather Predictor Test Cases 1-9,text,true,,3597,10,10,615,0
1480055570932,492,Get Weather,200,OK,Weather Predictor Test Cases 1-6,text,true,,4146,10,10,324,0
1480055570605,819,Get Weather,200,OK,Weather Predictor Test Cases 1-5,text,true,,4146,10,10,651,0
1480055571074,592,Login,200,OK,Weather Predictor Test Cases 1-10,text,true,,3601,11,11,592,0
1480055570407,1619,Send Login,200,OK,Weather Predictor Test Cases 1-7,text,true,,3206,11,11,826,0
1480055571576,754,Login,200,OK,Weather Predictor Test Cases 1-11,text,true,,3605,12,12,455,0
1480055568722,3651,Post Weather,200,OK,Weather Predictor Test Cases 1-1,text,true,,4638,12,12,2533,0
1480055572375,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-1,text,true,,2379,12,12,0,0
1480055569302,3237,Post Weather,200,OK,Weather Predictor Test Cases 1-2,text,true,,4638,11,11,2247,0
1480055572541,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-2,text,true,,2380,11,11,0,0
1480055570951,1592,Send Login,200,OK,Weather Predictor Test Cases 1-8,text,true,,3206,11,11,865,0
1480055571192,1433,Send Login,200,OK,Weather Predictor Test Cases 1-9,text,true,,3206,11,11,891,0
1480055572078,547,Login,200,OK,Weather Predictor Test Cases 1-12,text,true,,3597,11,11,547,0
1480055572030,889,Get Weather,200,OK,Weather Predictor Test Cases 1-7,text,true,,4146,11,11,595,0
1480055571670,1484,Send Login,200,OK,Weather Predictor Test Cases 1-10,text,true,,3206,12,12,874,0
1480055572577,666,Login,200,OK,Weather Predictor Test Cases 1-13,text,true,,3605,12,12,666,0
1480055572559,785,Get Weather,200,OK,Weather Predictor Test Cases 1-8,text,true,,4146,12,12,785,0
1480055572627,731,Get Weather,200,OK,Weather Predictor Test Cases 1-9,text,true,,4146,12,12,731,0
