timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480048891704,584,Login,200,OK,Weather Predictor Test Cases 1-2,text,true,,3599,3,3,584,0
1480048891437,851,Login,200,OK,Weather Predictor Test Cases 1-1,text,true,,3597,3,3,851,0
1480048892229,423,Login,200,OK,Weather Predictor Test Cases 1-3,text,true,,3605,3,3,423,0
1480048892706,696,Login,200,OK,Weather Predictor Test Cases 1-4,text,true,,3597,5,5,695,0
1480048892453,1099,Send Login,200,OK,Weather Predictor Test Cases 1-1,text,true,,3206,5,5,644,0
1480048893207,397,Login,200,OK,Weather Predictor Test Cases 1-5,text,true,,3601,5,5,397,0
1480048892409,1195,Send Login,200,OK,Weather Predictor Test Cases 1-2,text,true,,3206,5,5,904,0
1480048892655,1560,Send Login,200,OK,Weather Predictor Test Cases 1-3,text,true,,3206,7,7,949,0
1480048893614,629,Get Weather,200,OK,Weather Predictor Test Cases 1-2,text,true,,4146,7,7,536,0
1480048893706,599,Login,200,OK,Weather Predictor Test Cases 1-6,text,true,,3599,7,7,599,0
1480048893555,813,Get Weather,200,OK,Weather Predictor Test Cases 1-1,text,true,,4146,7,7,813,0
1480048893406,1021,Send Login,200,OK,Weather Predictor Test Cases 1-4,text,true,,3206,7,7,686,0
1480048894221,285,Get Weather,200,OK,Weather Predictor Test Cases 1-3,text,true,,4146,7,7,285,0
1480048894208,344,Login,200,OK,Weather Predictor Test Cases 1-7,text,true,,3599,7,7,344,0
1480048893609,1218,Send Login,200,OK,Weather Predictor Test Cases 1-5,text,true,,3206,8,8,711,0
1480048894430,708,Get Weather,200,OK,Weather Predictor Test Cases 1-4,text,true,,4146,8,8,708,0
1480048894710,499,Login,200,OK,Weather Predictor Test Cases 1-8,text,true,,3599,8,8,499,0
1480048894830,442,Get Weather,200,OK,Weather Predictor Test Cases 1-5,text,true,,4146,9,9,442,0
1480048894308,1018,Send Login,200,OK,Weather Predictor Test Cases 1-6,text,true,,3206,9,9,680,0
1480048895214,507,Login,200,OK,Weather Predictor Test Cases 1-9,text,true,,3599,10,10,507,0
1480048895329,434,Get Weather,200,OK,Weather Predictor Test Cases 1-6,text,true,,4146,10,10,434,0
1480048894555,1258,Send Login,200,OK,Weather Predictor Test Cases 1-7,text,true,,3206,10,10,707,0
1480048895816,495,Get Weather,200,OK,Weather Predictor Test Cases 1-7,text,true,,4146,11,11,494,0
1480048895212,1182,Send Login,200,OK,Weather Predictor Test Cases 1-8,text,true,,3206,11,11,610,0
1480048895716,832,Login,200,OK,Weather Predictor Test Cases 1-10,text,true,,3601,11,11,516,0
1480048896217,361,Login,200,OK,Weather Predictor Test Cases 1-11,text,true,,3599,11,11,361,0
1480048895729,913,Send Login,200,OK,Weather Predictor Test Cases 1-9,text,true,,3206,11,11,623,0
