timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480044363901,4482,Post Weather,200,OK,Weather Predictor Test Cases 1-6,text,true,,3384,16,16,3607,0
1480044368385,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-6,text,true,,2380,16,16,0,0
1480044367119,1269,Send Login,200,OK,Weather Predictor Test Cases 1-17,text,true,,3206,15,15,877,0
1480044363684,4705,Post Weather,200,OK,Weather Predictor Test Cases 1-7,text,true,,3387,15,15,3790,0
1480044367868,523,Login,200,OK,Weather Predictor Test Cases 1-20,text,true,,3599,15,15,366,0
1480044368407,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-7,text,true,,2378,15,15,0,0
1480044367635,914,Get Weather,200,OK,Weather Predictor Test Cases 1-16,text,true,,4146,14,14,364,0
1480044367430,1329,Send Login,200,OK,Weather Predictor Test Cases 1-18,text,true,,3206,14,14,803,0
1480044368369,784,Login,200,OK,Weather Predictor Test Cases 1-21,text,true,,3599,15,15,464,0
1480044364949,4424,Post Weather,200,OK,Weather Predictor Test Cases 1-9,text,true,,4638,16,16,3276,0
1480044369375,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-9,text,true,,2380,16,16,0,0
1480044368400,972,Get Weather,200,OK,Weather Predictor Test Cases 1-17,text,true,,4146,16,16,972,0
1480044368761,741,Get Weather,200,OK,Weather Predictor Test Cases 1-18,text,true,,4146,15,15,741,0
1480044364213,5337,Post Weather,200,OK,Weather Predictor Test Cases 1-8,text,true,,4638,15,15,4010,0
1480044369552,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-8,text,true,,2380,15,15,0,0
1480044368232,1572,Send Login,200,OK,Weather Predictor Test Cases 1-19,text,true,,3206,14,14,702,0
1480044368871,1125,Login,200,OK,Weather Predictor Test Cases 1-22,text,true,,3599,15,15,683,0
1480044368396,1606,Send Login,200,OK,Weather Predictor Test Cases 1-20,text,true,,3206,15,15,869,0
1480044369373,625,Login,200,OK,Weather Predictor Test Cases 1-23,text,true,,3599,15,15,625,0
1480044365750,4341,Post Weather,200,OK,Weather Predictor Test Cases 1-10,text,true,,4638,15,15,3580,0
1480044366850,3249,Post Weather,200,OK,Weather Predictor Test Cases 1-12,text,true,,3385,15,15,2809,0
1480044370099,3,Debug Sampler,200,OK,Weather Predictor Test Cases 1-10,text,true,,2380,15,15,0,0
1480044370101,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-12,text,true,,2380,15,15,0,0
1480044369157,2156,Send Login,200,OK,Weather Predictor Test Cases 1-21,text,true,,3206,15,15,849,0
1480044369873,1531,Login,200,OK,Weather Predictor Test Cases 1-24,text,true,,3601,16,16,1531,0
1480044365736,5709,Post Weather,200,OK,Weather Predictor Test Cases 1-11,text,true,,3385,16,16,4352,0
1480044370372,1073,Login,200,OK,Weather Predictor Test Cases 1-25,text,true,,3601,16,16,1073,0
1480044371447,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-11,text,true,,2379,16,16,0,0
1480044367282,4168,Post Weather,200,OK,Weather Predictor Test Cases 1-13,text,true,,3379,15,15,3101,0
1480044369806,1645,Get Weather,200,OK,Weather Predictor Test Cases 1-19,text,true,,4146,15,15,1645,0
1480044370005,1449,Get Weather,200,OK,Weather Predictor Test Cases 1-20,text,true,,4146,15,15,1314,0
1480044371462,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-13,text,true,,2381,15,15,0,0
1480044370013,1619,Send Login,200,OK,Weather Predictor Test Cases 1-23,text,true,,3206,14,14,1303,0
1480044370872,791,Login,200,OK,Weather Predictor Test Cases 1-26,text,true,,3599,14,14,791,0
1480044371372,909,Login,200,OK,Weather Predictor Test Cases 1-27,text,true,,3599,15,15,909,0
1480044371315,969,Get Weather,200,OK,Weather Predictor Test Cases 1-21,text,true,,4146,15,15,834,0
1480044370001,2638,Send Login,200,OK,Weather Predictor Test Cases 1-22,text,true,,3206,16,16,640,0
1480044369389,3484,Post Weather,200,OK,Weather Predictor Test Cases 1-17,text,true,,4638,16,16,2299,0
1480044372875,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-17,text,true,,2380,16,16,0,0
1480044371874,1119,Login,200,OK,Weather Predictor Test Cases 1-28,text,true,,3597,16,16,787,0
1480044371633,1359,Get Weather,200,OK,Weather Predictor Test Cases 1-23,text,true,,4146,16,16,1197,0
1480044368228,4865,Post Weather,200,OK,Weather Predictor Test Cases 1-15,text,true,,3386,16,16,3435,0
1480044373097,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-15,text,true,,2381,16,16,0,0
1480044369504,3607,Post Weather,200,OK,Weather Predictor Test Cases 1-18,text,true,,3384,15,15,2160,0
1480044373114,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-18,text,true,,2381,15,15,0,0
1480044371448,1848,Send Login,200,OK,Weather Predictor Test Cases 1-25,text,true,,3206,14,14,868,0
1480044372374,1238,Login,200,OK,Weather Predictor Test Cases 1-29,text,true,,3597,15,15,722,0
1480044368550,5274,Post Weather,200,OK,Weather Predictor Test Cases 1-16,text,true,,3386,15,15,3768,0
1480044373825,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-16,text,true,,2381,15,15,0,0
1480044371407,2491,Send Login,200,OK,Weather Predictor Test Cases 1-24,text,true,,3206,15,15,665,0
1480044371666,2313,Send Login,200,OK,Weather Predictor Test Cases 1-26,text,true,,3206,15,15,1066,0
1480044372642,1337,Get Weather,200,OK,Weather Predictor Test Cases 1-22,text,true,,4146,15,15,972,0
1480044368374,5611,Post Weather,200,OK,Weather Predictor Test Cases 1-14,text,true,,3384,15,15,4146,0
1480044372880,1105,Login,200,OK,Weather Predictor Test Cases 1-30,text,true,,3599,15,15,732,0
1480044373997,0,Debug Sampler,200,OK,Weather Predictor Test Cases 1-14,text,true,,2380,15,15,0,0
1480044373376,907,Login,200,OK,Weather Predictor Test Cases 1-31,text,true,,3603,14,14,609,0
1480044373299,1128,Get Weather,200,OK,Weather Predictor Test Cases 1-25,text,true,,4146,15,15,1128,0
1480044373876,551,Login,200,OK,Weather Predictor Test Cases 1-32,text,true,,3599,15,15,551,0
1480044373900,742,Get Weather,200,OK,Weather Predictor Test Cases 1-24,text,true,,4146,15,15,327,0
1480044373981,966,Get Weather,200,OK,Weather Predictor Test Cases 1-26,text,true,,4146,16,16,966,0
1480044372284,2662,Send Login,200,OK,Weather Predictor Test Cases 1-27,text,true,,3206,16,16,1341,0
1480044374380,880,Login,200,OK,Weather Predictor Test Cases 1-33,text,true,,3601,16,16,572,0
1480044373617,1877,Send Login,200,OK,Weather Predictor Test Cases 1-29,text,true,,3206,17,17,892,0
1480044374877,649,Login,200,OK,Weather Predictor Test Cases 1-34,text,true,,3597,17,17,561,0
1480044374950,626,Get Weather,200,OK,Weather Predictor Test Cases 1-27,text,true,,4146,17,17,626,0
1480044372997,2701,Send Login,200,OK,Weather Predictor Test Cases 1-28,text,true,,3206,17,17,985,0
1480044373995,1926,Send Login,200,OK,Weather Predictor Test Cases 1-30,text,true,,3206,18,18,956,0
1480044374431,1511,Send Login,200,OK,Weather Predictor Test Cases 1-32,text,true,,3206,18,18,837,0
1480044375378,932,Login,200,OK,Weather Predictor Test Cases 1-35,text,true,,3597,18,18,638,0
1480044375702,714,Get Weather,200,OK,Weather Predictor Test Cases 1-28,text,true,,4146,19,19,613,0
1480044375502,922,Get Weather,200,OK,Weather Predictor Test Cases 1-29,text,true,,4146,19,19,922,0
1480044371459,5048,Post Weather,200,OK,Weather Predictor Test Cases 1-19,text,true,,4638,19,19,4183,0
1480044376508,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-19,text,true,,2380,19,19,0,0
1480044374286,2390,Send Login,200,OK,Weather Predictor Test Cases 1-31,text,true,,3206,18,18,1237,0
1480044375878,1261,Login,200,OK,Weather Predictor Test Cases 1-36,text,true,,3597,19,19,750,0
1480044375945,1290,Get Weather,200,OK,Weather Predictor Test Cases 1-32,text,true,,4146,19,19,1290,0
1480044375923,1312,Get Weather,200,OK,Weather Predictor Test Cases 1-30,text,true,,4146,19,19,1216,0
1480044375529,1712,Send Login,200,OK,Weather Predictor Test Cases 1-34,text,true,,3206,19,19,948,0
1480044376380,864,Login,200,OK,Weather Predictor Test Cases 1-37,text,true,,3603,19,19,864,0
1480044375263,2026,Send Login,200,OK,Weather Predictor Test Cases 1-33,text,true,,3206,19,19,825,0
1480044371465,5872,Post Weather,200,OK,Weather Predictor Test Cases 1-20,text,true,,3384,19,19,4763,0
1480044376678,658,Get Weather,200,OK,Weather Predictor Test Cases 1-31,text,true,,4146,19,19,658,0
1480044377341,1,Debug Sampler,200,OK,Weather Predictor Test Cases 1-20,text,true,,2380,19,19,0,0
1480044376881,548,Login,200,OK,Weather Predictor Test Cases 1-38,text,true,,3599,19,19,548,0
1480044376312,1389,Send Login,200,OK,Weather Predictor Test Cases 1-35,text,true,,3206,19,19,838,0
1480044372998,5304,Post Weather,200,OK,Weather Predictor Test Cases 1-23,text,true,,4638,20,20,4141,0
